编号,大类编号,大类,小类编号,小类标题
"=""01001""","=""01""",其他异议,"=""001""",客服交互类：与客服沟通的体验问题。含语速过快、声音不清晰、客服说法矛盾等
"=""01002""","=""01""",其他异议,"=""002""",套餐基础疑问类：针对套餐本身的存在、价格、状态等基础问题提出疑问
"=""01003""","=""01""",其他异议,"=""003""",号码与卡使用类：围绕号码及实体卡的问题，含使用影响、归属地查询、保号规则等
"=""01004""","=""01""",其他异议,"=""004""",业务手续类：关于业务办理流程的问题，含停机 / 复机、宽带安装 / 注销、账户状态查询等
"=""01005""","=""01""",其他异议,"=""005""",费用返款类：询问返款规则、到账时间、折扣政策、叠加包来源等
"=""01006""","=""01""",其他异议,"=""006""",操作验证类：询问手机重启、验证码及特定操作问题
"=""01007""","=""01""",其他异议,"=""007""",信息获取类：要求发详细信息、解术语含义及确认业务内容
"=""01008""","=""01""",其他异议,"=""008""",沟通时间类：担心遗忘办理时间、拒绝即时沟通及询问客服所在地
"=""01009""","=""01""",其他异议,"=""009""",服务与归属疑问类：疑问服务生效时间、归属地转移及网络改造保留服务
"=""01010""","=""01""",其他异议,"=""010""",身份信任类：质疑客服身份、电话合法性及担心套餐推销
"=""01011""","=""01""",其他异议,"=""011""",服务免费性确认类：专门确认相关服务是否为免费
"=""01012""","=""01""",其他异议,"=""012""",特殊服务需求类：个性化服务诉求，含特定语种服务、服务评价渠道、定制化功能等
